English_Name,Korean_Name,Personalities_Korean,Personalities_Count,Personalities_List
Esta,Esta,"Fleareth, Ax",2,Fleareth|Ax
Nixa,Nixa,"Fleareth, Bow",2,Fleareth|Bow
Yssis,Yssis,"Fleareth, Staff",2,Fleareth|Staff
Een,Een,"Machinery, Lance",2,Machinery|Lance
Koot,Koot,"Machinery, Katana",2,Machinery|Katana
Noome,Noome,"Machinery, Staff",2,Machinery|Staff
Oor,Oor,"Machinery, Ax",2,Machinery|Ax
Saithe,Saithe,"Machinery, Bow",2,Machinery|Bow
Tayme,Tayme,"Machinery, Fists",2,Machinery|Fists
Toole,Toole,"Machinery, Hammer",2,Machinery|Hammer
Uuo,Uuo,"Machinery, Sword",2,Machinery|Sword
Erina,Erina,"Spirit-fused, Staff",2,Spirit-fused|Staff
Claude ES,Claude ES,"Sword, Earth",2,Sword|Earth
Thillelille ES,Thillelille ES,"Sword, Crystal",2,Sword|Crystal
Shigure ES,Shigure ES,"Katana, Wind",2,Katana|Wind
Shion ES,Shion ES,"Katana, Thunder",2,Katana|Thunder
Felmina ES,Felmina ES,"Ax, Water",2,Ax|Water
Anabel ES,Anabel ES,"Lance, Fire",2,Lance|Fire
Necoco ES,Necoco ES,"Bow, Wind",2,Bow|Wind
Tsukiha ES,Tsukiha ES,"Bow, Wind",2,Bow|Wind
Mariel ES,Mariel ES,"Fists, Crystal",2,Fists|Crystal
Uquaji,Uquaji,"Fists, Water",2,Fists|Water
Suzette ES,Suzette ES,"Hammer, Fire",2,Hammer|Fire
