캐릭터명,영문명,캐릭터아이콘경로,희귀도,속성명리스트,무기명리스트,성격특성리스트
노포우족,Nopaew,04_data/images/character_art/101070071_command.png,,,,"대장간, Estrangement, 후드, Miner, Hammer, Wind"
듀이,Dewey,04_data/images/character_art/101060101_rank5_command.png,,,,"안경, 독서가, 총, Lost Laboratory, 상사병, Fists, Water"
시온 AS,Shion (Another Style),04_data/images/character_art/101020031_s2_rank5_command.png,,,,
베이나,Veina,04_data/images/character_art/101000011_rank5_command.png,,,,"엘프, 독서가, Forager, Zoology, Staff, Wind"
엘가,Elga,04_data/images/character_art/101020091_rank5_command.png,,,,"Cat lover, 기억 상실, 후드, Katana, Earth"
투바 AS,Toova (Another Style),04_data/images/character_art/101000051_s2_rank5_command.png,,,,
렌리,Renri,04_data/images/character_art/101030091_rank5_command.png,,,,"안경, Sweet tooth, COA, Ax, Fire"
섀넌,Shannon,04_data/images/character_art/101010091_rank5_command.png,,,,"Cat lover, 미술, KMS, Sword, Wind"
이스카 AS,Isuka (Another Style),04_data/images/character_art/101020071_s2_rank5_command.png,,,,
사키 AS,Saki (Another Style),04_data/images/character_art/101000231_s2_rank5_command.png,,,,
클로드,Claude,04_data/images/character_art/101050081_rank5_command.png,,,,"IDA 스쿨, 독서가, 용, 왕족, Bow, Wind"
마이티 AS,Mighty (Another Style),04_data/images/character_art/101000041_s2_rank5_command.png,,,,
사키,Saki,04_data/images/character_art/101000231_command.png,,,,"IDA 스쿨, Staff, Water"
츠키하,Tsukiha,04_data/images/character_art/101020081_rank5_command.png,,,,"동방, 가면, Avenger, Cursed, Fairy, Land of Ro, 왕족, Katana, Fire"
베르트랑,Bertrand,04_data/images/character_art/101040101_rank5_command.png,,,,"미글렌스 왕궁, 방패, Lance, Earth"
펠미나,Felmina,04_data/images/character_art/101060091_rank5_command.png,,,,"미글렌스 왕궁, 후드, Ninja, 무법자, Fists, Wind"
길드너,Guildna,04_data/images/character_art/101800041_rank5_command.png,,,,"마수, Luring Shadow, 왕족, Sword, Fire"
수제트 AS,Suzette (Another Style),04_data/images/character_art/101040031_s2_rank5_command.png,,,,
뮬루스,Myrus,04_data/images/character_art/101000221_rank5_command.png,,,,"마수, Staff, Earth"
착한 마쿠마쿠,Good Macky,04_data/images/character_art/101060061_command.png,,,,"Sweet tooth, Cat Hater, Fists, Wind"
메리나,Melina,04_data/images/character_art/101070061_rank5_command.png,,,,"Clergy, Minstrel, Sweet tooth, Miner, 왕족, West, Hammer, Water"
노놀드,Nonold,04_data/images/character_art/101000211_rank5_command.png,,,,"IDA 스쿨, 과학자, Forager, KMS, Staff"
질버,Zilva,04_data/images/character_art/101030081_command.png,,,,"미술, Forager, 무법자, Ax, Earth"
셰이네,Shanie,04_data/images/character_art/101010081_rank5_command.png,,,,"Cursed, 상사병, Sword, Water"
셀리느,Cerrine,04_data/images/character_art/101060081_rank5_command.png,,,,"안경, IDA 스쿨, 무법자, Fists, Earth"
세티,Cetie,04_data/images/character_art/101040091_rank5_command.png,,,,"안경, COA, Mounted, Lance, Fire"
야즈키,Yazuki,04_data/images/character_art/101030061_command.png,,,,"안경, 무법자, Scallywag, Ax, Wind"
유인,Ewan,04_data/images/character_art/101070051_rank5_command.png,,,,"안경, Sweet tooth, Cursed, Miner, Weapons, Hammer, Fire"
에리나,Erina,04_data/images/character_art/101000151_command.png,,,,"Spirit-fused, Staff"
레비아,Levia,04_data/images/character_art/101000201_rank5_command.png,,,,"용궁, 기억 상실, Bind, Fishman, Staff, Water"
나기,Nagi,04_data/images/character_art/101030071_rank5_command.png,,,,"용궁, Glutton, 왕족, Ax, Earth"
치요,Chiyo,04_data/images/character_art/101000191_command.png,,,,"용궁, Staff, Earth"
시에라,Sheila,04_data/images/character_art/101040081_command.png,,,,"용궁, Fishman, 왕족, Lance, Water"
가리유,Gariyu,04_data/images/character_art/101000081_rank5_command.png,,,,"용, Staff, Fire"
유나,Yuna,04_data/images/character_art/101000121_rank5_command.png,,,,"Clergy, 동방, Estrangement, Staff"
라비나,Lovinia,04_data/images/character_art/101050071_command.png,,,,"Minstrel, Spirit Talker, Bow, Wind"
이스카,Isuka,04_data/images/character_art/101020071_rank5_command.png,,,,"IDA 스쿨, 독서가, COA, Lost Laboratory, Power to Rule, Katana, Wind"
제이드,Jade,04_data/images/character_art/101040071_rank5_command.png,,,,"IDA 스쿨, Lance, Fire"
루이나,Ruina,04_data/images/character_art/101010031_command.png,,,,"엘프, 안경, IDA 스쿨, 독서가, Sword, Wind"
아자미,Azami,04_data/images/character_art/101020011_rank5_command.png,,,,"동방, Sweet tooth, Land of Mi, 상사병, Katana, Wind"
라클레어,Laclair,04_data/images/character_art/101050061_rank5_command.png,,,,"Avenger, Dog lover, Dragon Killer, Bow, Water"
사모라,Samora,04_data/images/character_art/101070021_command.png,,,,"요리, 드워프, 미식, Miner, Hammer, Fire"
아나벨,Anabel,04_data/images/character_art/101010011_rank5_command.png,,,,"미글렌스 왕궁, Sweet tooth, Mounted, 방패, Sword, Water"
디아드라,Deirdre,04_data/images/character_art/101010051_rank5_command.png,,,,"미글렌스 왕궁, 기억 상실, Demon Sword, 무법자, Sword, Earth"
네로,Nero,04_data/images/character_art/101060071_command.png,,,,"동방, Land of Shin, MMA, Fists, Water"
아카네,Akane,04_data/images/character_art/101020051_rank5_command.png,,,,"동방, Itto-Ryu, Land of Mi, Katana, Fire"
알도,Aldo,04_data/images/character_art/101910011_rank5_command.png,,,,"Guiding Light, New Radical Dreamers, New Time Drift, Protagonist, 아르카디아, 바르오키, Concerto Artes, Demon Sword, 용, Forager, Itto-Ryu, Sword, Fire"
에이미,Amy,04_data/images/character_art/101960011_rank5_command.png,,,,"대장간, 요리, Avenger, Spirit-fused, Fists, Wind"
베네디트,Benedict,04_data/images/character_art/101030021_rank5_command.png,,,,"Forager, 무법자, Woodcutter, Ax, Wind"
비베트,Bivette,04_data/images/character_art/101000061_rank5_command.png,,,,"Cat lover, Animal Talker, Spirit Talker, Staff, Fire"
브리아,Bria,04_data/images/character_art/101140021_rank5_command.png,,,,"엘프, Fleareth, Lance, Water"
시엘,Ciel,04_data/images/character_art/101050021_rank5_command.png,,,,"Minstrel, Bow, Earth"
사이러스 (스토리),Cyrus,04_data/images/character_art/101920011_rank5_command.png,,,,"동방, Guiding Light, Cursed, Katana, Water"
피네,Feinne,04_data/images/character_art/101900011_rank5_command.png,,,,"Cat lover, 요리, 바르오키, Demon Sword, 지오, Staff"
헬레나,Helena,04_data/images/character_art/101800052_rank5_command.png,,,,"가면, 합성인간, Staff, Earth"
로키드,Lokido,04_data/images/character_art/101060031_rank5_command.png,,,,"마수, Avenger, Fists, Earth"
마리엘,Mariel,04_data/images/character_art/101000031_rank5_command.png,,,,"Cat lover, Clergy, Staff"
메이,May,04_data/images/character_art/101070031_rank5_command.png,,,,"대장간, 안경, 바르오키, 상사병, Miner, Hammer, Earth"
마이티,Mighty,04_data/images/character_art/101000041_rank5_command.png,,,,"IDA 스쿨, Napper, Staff, Water"
미유,Miyu,04_data/images/character_art/101010041_rank5_command.png,,,,"미글렌스 왕궁, 왕족, Sword, Fire"
프라이,Prai,04_data/images/character_art/101070011_rank5_command.png,,,,"Clergy, Miner, West, Hammer, Fire"
리이카,Riica,04_data/images/character_art/101970011_rank5_command.png,,,,"Cat lover, KMS, Machinery, Miner, Hammer, Earth"
세빈,Sevyn,04_data/images/character_art/101000111_rank5_command.png,,,,"안경, IDA 스쿨, Lost Laboratory, Spirit Talker, Staff, Wind"
시온,Shion,04_data/images/character_art/101020031_rank5_command.png,,,,"Cat lover, 죽마고우, 동방, Itto-Ryu, Land of Mi, Mounted, Katana, Fire"
수제트,Suzette,04_data/images/character_art/101040031_rank5_command.png,,,,"Sweet tooth, 미식, Lost Laboratory, Lance, Wind"
투바,Toova,04_data/images/character_art/101000051_rank5_command.png,,,,"장례, Nicknamer, Spirit-fused, Staff, Earth"
브리노,Breeno,04_data/images/character_art/101010021_command.png,,,,"엘프, 미글렌스 왕궁, Sword, Earth"
큐카,Cyuca,04_data/images/character_art/101030051_command.png,,,,"가면, 무법자, Spicy Lover, Ax, Wind"
다르니스,Darunis,04_data/images/character_art/101050041_command.png,,,,"바르오키, Forager, Bow, Wind"
데니,Denny,04_data/images/character_art/101030031_command.png,,,,"Scallywag, Ax, Water"
포란,Foran,04_data/images/character_art/101040051_command.png,,,,"IDA 스쿨, Cat Hater, Lance, Water"
코마치,Komachi,04_data/images/character_art/101040011_command.png,,,,"동방, Land of Mi, Lance, Earth"
쿨레르보,Krervo,04_data/images/character_art/101000071_command.png,,,,"안경, 과학자, Forager, KMS, Staff"
레레,Lele,04_data/images/character_art/101000101_command.png,,,,"Cat lover, Animal Talker, Staff, Water"
링리,Lingli,04_data/images/character_art/101060021_command.png,,,,"요리, 동방, Land of Shin, MMA, Fists, Fire"
미란다,Miranda,04_data/images/character_art/101030041_command.png,,,,"Scallywag, Spicy Lover, Ax, Fire"
뮤론,Myron,04_data/images/character_art/101010061_command.png,,,,"Clergy, Sword, Earth"
니케,Nikeh,04_data/images/character_art/101020021_command.png,,,,"동방, 무법자, Katana, Water"
노마르,Nomar,04_data/images/character_art/101040041_command.png,,,,"바르오키, Miner, Weapons, Lance, Water"
오토하,Otoha,04_data/images/character_art/101020041_command.png,,,,"Cat lover, 동방, Land of Mi, Zoology, Katana, Earth"
파리사,Parisa,04_data/images/character_art/101050031_command.png,,,,"Minstrel, Cursed, Bow, Fire"
폼,Pom,04_data/images/character_art/101000161_command.png,,,,"과학자, Forager, 총, Staff"
레이븐,Raven,04_data/images/character_art/101000021_command.png,,,,"가면, 기억 상실, 후드, Staff, Earth"
로벨라,Rovella,04_data/images/character_art/101050051_command.png,,,,"Lost Laboratory, Machinery, 밀리터리, 무법자, Bow, Water"
루프스,Rufus,04_data/images/character_art/101060051_command.png,,,,"독서가, Fists, Fire"
소이라,Soira,04_data/images/character_art/101040021_command.png,,,,"미글렌스 왕궁, Napper, Lance, Wind"
이오,Yio,04_data/images/character_art/101030011_command.png,,,,"Dragon Killer, Ax, Earth"
에이시아,Asia,04_data/images/character_art/101150011_command.png,,,,"가면, Estrangement, Bow"
크토스,Ctos,04_data/images/character_art/101170021_command.png,,,,"Fleareth, Hammer"
인,Een,04_data/images/character_art/101140031_command.png,,,,"Machinery, Lance"
에무스,Emms,04_data/images/character_art/101160021_command.png,,,,"Fleareth, Napper, Fists"
에스타,Esta,04_data/images/character_art/101130021_command.png,,,,"Fleareth, Ax"
킬퀴어,Kilqia,04_data/images/character_art/101100011_command.png,,,,"가면, Sharp Ears, Staff"
쿠트,Koot,04_data/images/character_art/101120031_command.png,,,,"Machinery, Katana"
메네시아,Menesia,04_data/images/character_art/101120011_command.png,,,,"가면, Katana"
나토레,Natore,04_data/images/character_art/101110021_command.png,,,,"Fleareth, Ninja, Sword"
네일리아,Naylia,04_data/images/character_art/101110011_command.png,,,,"가면, Sword"
닉사,Nixa,04_data/images/character_art/101150021_command.png,,,,"Fleareth, Bow"
누므,Noome,04_data/images/character_art/101100031_command.png,,,,"Machinery, Staff"
오르,Oor,04_data/images/character_art/101130031_command.png,,,,"Machinery, Ax"
패시아,Pasia,04_data/images/character_art/101170011_command.png,,,,"Cat lover, 가면, Animal Talker, Hammer"
로디아,Rodeia,04_data/images/character_art/101130011_command.png,,,,"가면, Sweet tooth, Ax"
세스,Saithe,04_data/images/character_art/101150031_command.png,,,,"Machinery, Bow"
사우리아,Sauria,04_data/images/character_art/101140011_command.png,,,,"가면, Nicknamer, Lance"
테임,Tayme,04_data/images/character_art/101160031_command.png,,,,"Machinery, Fists"
톰,Tohme,04_data/images/character_art/101120021_command.png,,,,"Avenger, Fleareth, Katana"
톨,Toole,04_data/images/character_art/101170031_command.png,,,,"Machinery, Hammer"
우라니아,Urania,04_data/images/character_art/101160011_command.png,,,,"요리, 가면, Fists"
우오,Uuo,04_data/images/character_art/101110031_command.png,,,,"Machinery, Sword"
이시스,Yssis,04_data/images/character_art/101100021_command.png,,,,"Fleareth, Staff"
카로미나,Caromina,04_data/images/character_art/101050011_command.png,,,,
케켈레,Kekelle,,,,,
미리암,Miriam,04_data/images/character_art/101060041_command.png,,,,
미스너,Misner,04_data/images/character_art/101060041_command.png,,,,
모이나,Moyna,,,,,
라자,Rajah,04_data/images/character_art/101060041_command.png,,,,
