캐릭터명,English_Name,캐릭터아이콘경로,희귀도,속성명리스트,무기명리스트,퍼스널리티리스트,속성_아이콘경로리스트,무기_아이콘경로리스트,방어구_아이콘경로리스트,속성장비_정보,출시일
사이러스 (협주),Cyrus Albright,04_data\images\character_art\icons\101450051_rank5_command.png,4~5★ SA,"불, 물, 번개",지팡이,"Bookworm, Traveler, Staff, Fire, Water, Thunder",04_data/images/character_art/elements_equipment/fire_icon.png|04_data/images/character_art/elements_equipment/water_icon.png|04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|Skill Type 8 8.png|Skill Type 8 16.png|202000000 icon.png|216000004 icon.png,2023-12-07
오보로,Oboro,04_data\images\character_art\icons\101020171_rank5_command.png,4~5★ SA,번개,도,"Cat lover, Eastern, Mask, Itto-Ryu, KMS, Lovesick, Katana, Thunder",04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 16.png|202000002 icon.png|216000004 icon.png,2023-12-07
파르티티오,Partitio,04_data\images\character_art\icons\101450061_rank5_command.png,4~5★ SA,불,활,"Traveler, Bow, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000005 icon.png|216000004 icon.png,2023-12-07
티티,Tithi,04_data\images\character_art\icons\101450071_rank5_command.png,4~5★ SA,번개,권갑,"Traveler, Fists, Thunder",04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 16.png|202000006 icon.png|216000003 icon.png,2023-12-07
세리에스,Cerius,04_data\images\character_art\icons\101050181_rank5_command.png,4~5★ SA,땅,활,"Arcadia, Dragon Killer, Spicy Lover, Bow, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000005 icon.png|216000004 icon.png,2023-11-24
류제,Wryz,04_data\images\character_art\icons\101040201_rank5_command.png,4~5★ SA,물,창,"Arcadia, Cursed, Dragon, Dragon Killer, Lance, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000004 icon.png|216000002 icon.png,2023-11-24
폼 AS,Pom AS,04_data\images\character_art\icons\101000161_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000000 icon.png|216000004 icon.png,2023-11-15
오를레아 AS,Orleya AS,04_data\images\character_art\icons\101030171_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|Skill Type 8 16.png|202000003 icon.png|216000003 icon.png,2023-11-07
백자의 마인,Porcelain Pixie,04_data\images\character_art\icons\101000361_rank5_command.png,5★,땅,지팡이,"Eastern, Bind, Land of Shin, Staff, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000000 icon.png|216000004 icon.png,2023-10-25
캄라녜쥬,Kamlanage,04_data\images\character_art\icons\101000341_rank5_command.png,5★,번개,지팡이,"Chronos Empire, Future Revolutionary, Paradoxical Dreamers' Leader, Prince of Time, Staff, Thunder",04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 16.png|202000000 icon.png|216000004 icon.png,2023-10-17
베레토,Velette,04_data\images\character_art\icons\101070131_rank5_command.png,4~5★,번개,망치,"Chronos Empire, Miner, Hammer, Thunder",04_data/images/character_art/elements_equipment/thunder_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 16.png|202000007 icon.png|216000002 icon.png,2023-10-17
Gunce,Gunce,04_data\images\character_art\icons\2000000009_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2023-10-17
Hyuga,Hyuga,04_data\images\character_art\icons\2000000010_command.png,4★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2023-10-17
파리사 AS,Parisa AS,04_data\images\character_art\icons\101050031_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000005 icon.png|216000004 icon.png,2023-10-06
꿈의 음유 시인,Dream Weaver,04_data\images\character_art\icons\101000351_rank5_command.png,5★,물,지팡이,"Beast, Minstrel, Purgatory, Spicy Lover, Staff, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2023-09-26
멜로디 AS,Melody AS,04_data\images\character_art\icons\101000141_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000000 icon.png|216000004 icon.png,2023-09-15
녹시스 AS,Noahxis AS,04_data\images\character_art\icons\101070121_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000007 icon.png|216000002 icon.png,2023-09-15
펠미나 ES,Felmina ES,04_data\images\character_art\icons\101060091_s3_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000003 icon.png|216000003 icon.png,2023-09-06
엘실,Elseal,04_data\images\character_art\icons\101010161_rank5_command.png,4~5★,물,검,"Bookworm, Weapons, Sword, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000001 icon.png|216000002 icon.png,2023-08-25
프레메아 AS,Premaya AS,04_data\images\character_art\icons\101050111_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000005 icon.png|216000004 icon.png,2023-08-15
심홍의 사자,Crimson Reaper,04_data\images\character_art\icons\101030181_rank5_command.png,5★,물,도끼,"Mask, Purgatory, Ax, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000003 icon.png|216000003 icon.png,2023-08-04
Limil,Limil,04_data\images\character_art\icons\2000000008_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2023-08-04
피치카 AS,Pizzica AS,04_data\images\character_art\icons\101050141_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000005 icon.png|216000004 icon.png,2023-07-25
Pisce,Pisce,04_data\images\character_art\icons\2000000007_command.png,3~4★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2023-07-25
노나 AS,Nona AS,04_data\images\character_art\icons\101050161_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|Skill Type 8 32.png|202000005 icon.png|216000004 icon.png,2023-07-14
세스타,Sesta,04_data\images\character_art\icons\101020161_rank5_command.png,4~5★,바람,도,"Avenger, Katana, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000002 icon.png|216000004 icon.png,2023-07-14
투바 ES,Toova ES,04_data\images\character_art\icons\101000051_s3_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|Skill Type 8 32.png|202000007 icon.png|216000002 icon.png,2023-07-14
러블리 AS,Lovely AS,04_data\images\character_art\icons\101060121_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2023-07-05
셀리느 AS,Cerrine AS,04_data\images\character_art\icons\101060081_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000006 icon.png|216000003 icon.png,2023-06-21
잔영의 가인,Beautiful Stranger,04_data\images\character_art\icons\101010151_rank5_command.png,5★,땅,검,"Amnesia, Dog lover, KMS, Sword, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000001 icon.png|216000002 icon.png,2023-06-21
야쿠모,Yakumo,04_data\images\character_art\icons\101000331_rank5_command.png,4~5★,그림자,지팡이,"Estrangement, KMS, Staff, Shade",04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 32.png|202000000 icon.png|216000004 icon.png,2023-06-09
Kumos,Kumos,04_data\images\character_art\icons\2000000006_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2023-06-09
듀이 AS,Dewey AS,04_data\images\character_art\icons\101060101_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000006 icon.png|216000003 icon.png,2023-05-10
은주의 구미호,Vermillion Whip,04_data\images\character_art\icons\101040191_rank5_command.png,5★,불,창,"Cooking, Eastern, Fairy, Land of Shin, Spicy Lover, Lance, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000004 icon.png|216000002 icon.png,2023-04-26
마리엘 ES,Mariel ES,04_data\images\character_art\icons\101000031_s3_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 64.png|202000006 icon.png|216000003 icon.png,2023-04-11
히이나 AS,Heena AS,04_data\images\character_art\icons\101020121_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000002 icon.png|216000004 icon.png,2023-03-24
가람배럴 AS,Garambarrel AS,04_data\images\character_art\icons\101040161_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000004 icon.png|216000002 icon.png,2023-03-10
애쉬티어,Ashtear,04_data\images\character_art\icons\101060161_rank5_command.png,5★,불,권갑,"Glasses, Scientist, Baruoki, Gun, Fists, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 1.png|202000006 icon.png|216000003 icon.png,2023-02-24
Korobo,Korobo,04_data\images\character_art\icons\2000000002_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2023-02-24
미나르카,Minalca,04_data\images\character_art\icons\101010131_rank5_command.png,4~5★,불,검,"Chronos Empire, Glutton, Military, Outlaw, Sword, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2023-02-24
Tetra,Tetra,04_data\images\character_art\icons\2000000001_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2023-02-24
Mordy,Mordy,04_data\images\character_art\icons\2000000005_command.png,4★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2023-02-24
Minimander,Minimander,04_data\images\character_art\icons\2000000003_command.png,3★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2023-02-24
Lord Ukulele,Lord Ukulele,04_data\images\character_art\icons\2000000004_command.png,3★,,,,,,04_data\images\character_art\elements_equipment\Buddy_equipment.png,Buddy equipment.png,2023-02-24
플람라피스 AS,Flammelapis AS,04_data\images\character_art\icons\101000271_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2023-02-10
이프,Iphi,04_data\images\character_art\icons\101000321_rank5_command.png,4~5★,"불, 그림자",지팡이,"Gun, Spicy Lover, Staff, Fire, Shade",04_data/images/character_art/elements_equipment/fire_icon.png|04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|Skill Type 8 32.png|202000000 icon.png|216000004 icon.png,2023-01-27
꽃피우는 공주,Noble Blossom,04_data\images\character_art\icons\101040181_rank5_command.png,5★,불,창,"Eastern, Bookworm, Fairy, Land of Ro, Royalty, Lance, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000004 icon.png|216000002 icon.png,2023-01-11
네코코 AS,Necoco AS,04_data\images\character_art\icons\101030151_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000003 icon.png|216000003 icon.png,2022-12-27
알펜,Alphen,04_data\images\character_art\icons\101450031_rank5_command.png,4~5★,불,검,"Mask, Amnesia, Concerto Artes, Tales of, Sword, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2022-12-20
콜레트,Colette,04_data\images\character_art\icons\101450021_rank5_command.png,4~5★,,지팡이,"Concerto Artes, Dog lover, Tales of, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2022-12-20
월화의 영애,Moonlight Flower,04_data\images\character_art\icons\101010141_rank5_command.png,5★,물,검,"IDA School, Sword, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000001 icon.png|216000002 icon.png,2022-12-20
로이드,Lloyd,04_data\images\character_art\icons\101450011_rank5_command.png,4~5★,불,도,"Concerto Artes, Tales of, Katana, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000002 icon.png|216000004 icon.png,2022-12-20
시온 (협주),Shionne,04_data\images\character_art\icons\101450041_rank5_command.png,4~5★,불,활,"Concerto Artes, Cursed, Glutton, Gun, Tales of, Bow, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000005 icon.png|216000004 icon.png,2022-12-20
비아카 AS,Biaka AS,04_data\images\character_art\icons\101070081_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000007 icon.png|216000002 icon.png,2022-12-07
신시아 AS,Cynthia AS,04_data\images\character_art\icons\101010101_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000001 icon.png|216000002 icon.png,2022-11-22
클로드 ES,Claude ES,04_data\images\character_art\icons\101050081_s3_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000001 icon.png|216000002 icon.png,2022-11-09
아이샤,Aisha,04_data\images\character_art\icons\101000311_rank5_command.png,5★,"불, 물",지팡이,"Minstrel, Cursed, Staff, Fire, Water",04_data/images/character_art/elements_equipment/fire_icon.png|04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2022-10-21
소이라 AS,Soira AS,04_data\images\character_art\icons\101040021_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000004 icon.png|216000002 icon.png,2022-10-21
우쿠아지,Uquaji,04_data\images\character_art\icons\101060151_rank5_command.png,5★,물,권갑,"Fists, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000006 icon.png|216000003 icon.png,2022-10-11
유키노 AS,Yukino AS,04_data\images\character_art\icons\101050131_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000005 icon.png|216000004 icon.png,2022-10-11
레레 AS,Lele AS,04_data\images\character_art\icons\101000101_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2022-09-22
알마,Alma,04_data\images\character_art\icons\101050171_rank5_command.png,4~5★,결정,활,"Cat lover, Glasses, Alchemist, Gun, Bow, Crystal",04_data/images/character_art/elements_equipment/crystal_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_64.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 64.png|202000005 icon.png|216000004 icon.png,2022-09-09
유인 AS,Yipha AS,04_data\images\character_art\icons\101070101_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|Skill Type 8 0.png|202000007 icon.png|216000002 icon.png,2022-08-23
아자미 AS,Azami AS,04_data\images\character_art\icons\101020011_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000002 icon.png|216000004 icon.png,2022-08-12
먹빛의 책사,Jet Tactician,04_data\images\character_art\icons\101000301_rank5_command.png,5★,불,지팡이,"Cat lover, Eastern, Bookworm, Gun, Itto-Ryu, Land of Mi, Staff, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000000 icon.png|216000004 icon.png,2022-08-12
라디아스 AS,Radias AS,04_data\images\character_art\icons\101010111_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2022-07-25
미유 ES,Miyu ES,04_data\images\character_art\icons\101010041_s3_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\Skill_Type_8_16.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|Skill Type 8 16.png|202000004 icon.png|216000002 icon.png,2022-07-08
녹시스,Noahxis,04_data\images\character_art\icons\101070121_rank5_command.png,5★,바람,망치,"Scientist, Hammer, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000007 icon.png|216000002 icon.png,2022-07-08
노나,Nona,04_data\images\character_art\icons\101050161_rank5_command.png,4~5★,"물, 그림자",활,"Amnesia, Hood, Royalty, Bow, Water, Shade",04_data/images/character_art/elements_equipment/water_icon.png|04_data/images/character_art/elements_equipment/shade_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\Skill_Type_8_32.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|Skill Type 8 32.png|202000005 icon.png|216000004 icon.png,2022-07-08
