English_Name,Korean_Name,Personalities_Korean,Personalities_Count,Personalities_List
Ctos,Ctos,"Fleareth, Hammer",2,Fleareth|Hammer
Yssis,Yssis,"Fleareth, Staff",2,Fleareth|Staff
Nixa,Nixa,"Fleareth, Bow",2,Fleareth|Bow
Uuo,Uuo,"Machinery, Sword",2,Machinery|Sword
Toole,Toole,"Machinery, Hammer",2,Machinery|Hammer
Tayme,Tayme,"Machinery, Fists",2,Machinery|Fists
Een,Een,"Machinery, Lance",2,Machinery|Lance
Erina,Erina,"Spirit-fused, Staff",2,Spirit-fused|Staff
Koot,Koot,"Machinery, Katana",2,Machinery|Katana
Noome,Noome,"Machinery, Staff",2,Machinery|Staff
Oor,Oor,"Machinery, Ax",2,Machinery|Ax
Saithe,Saithe,"Machinery, Bow",2,Machinery|Bow
Shigure ES,Shigure ES,"Katana, Wind",2,Katana|Wind
Claude ES,Claude ES,"Sword, Earth",2,Sword|Earth
Thillelille ES,Thillelille ES,"Sword, Crystal",2,Sword|Crystal
Anabel ES,Anabel ES,"Lance, Fire",2,Lance|Fire
Felmina ES,Felmina ES,"Ax, Water",2,Ax|Water
Shion ES,Shion ES,"Katana, Thunder",2,Katana|Thunder
Necoco ES,Necoco ES,"Bow, Wind",2,Bow|Wind
Mariel ES,Mariel ES,"Fists, Crystal",2,Fists|Crystal
Tsukiha ES,Tsukiha ES,"Bow, Wind",2,Bow|Wind
Uquaji,Uquaji,"Fists, Water",2,Fists|Water
Suzette ES,Suzette ES,"Hammer, Fire",2,Hammer|Fire
